post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47585008,"7,655 Ransomware Claims in One Year: Group, Sector, and Country Breakdown",worldnews,61,14,adulion,2026-04-03 21:49:51,0.22580645161290322,False
47557299,Hardware Image Compression,worldnews,73,15,luu,2026-04-03 21:49:57,0.20270270270270271,False
47620400,Iran attacks Oracle data center in Dubai,worldnews,12,5,topherPedersen,2026-04-03 21:50:05,0.38461538461538464,False
47612035,UK Government unveils rules to end subscription traps,worldnews,25,6,_____k,2026-04-03 21:50:06,0.23076923076923078,False
47606909,Cindy Cohn of the EFF Interviewed by Jon Stewart on the Daily Show [video],worldnews,35,1,latexr,2026-04-03 21:50:30,0.027777777777777776,False
47540833,Hold on to Your Hardware,worldnews,661,533,LucidLynx,2026-04-03 21:51:12,0.8051359516616314,True
47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",worldnews,43,3,smartmic,2026-04-03 21:51:14,0.06818181818181818,False
47608080,Show HN: 65k AI voters predict UK local elections with 75% accuracy,worldnews,7,9,JasonDuke,2026-04-03 21:51:30,1.125,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,754,352,hkmaxpro,2026-04-03 21:52:40,0.46622516556291393,True
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,3,teekert,2026-04-03 21:55:51,0.1111111111111111,False
47562342,Digitizing photos from the 1998 Game Boy Camera,sports,68,15,rockbruno,2026-04-03 21:55:57,0.21739130434782608,False
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,73,26,simple10,2026-04-03 21:56:03,0.35135135135135137,False
47575403,CodingFont: A game to help you pick a coding font,sports,491,236,nvahalik,2026-04-03 21:57:11,0.4796747967479675,True
47607775,"""Special 301"" Comments on Nintendo Game Piracy in Asia and Latin America (1994)",sports,7,0,Lammy,2026-04-03 21:58:55,0.0,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,30,6,teleforce,2026-04-03 22:00:40,0.1935483870967742,False
47604155,SpaceX files to go public,science,392,570,nutjob2,2026-04-03 22:01:33,1.450381679389313,True
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,39,6,ruevs,2026-04-03 22:02:29,0.15,False
47578086,Vulnerability research is cooked,science,255,168,pedro84,2026-04-03 22:02:50,0.65625,True
47588349,GitHub Monaspace Case Study,science,146,49,homebrewer,2026-04-03 22:03:09,0.3333333333333333,False
47586614,Open source CAD in the browser (Solvespace),science,369,125,phkahler,2026-04-03 22:03:10,0.33783783783783783,True
47572878,How-to guide: Commissioning a Sensor Physics R&D Lab,science,41,4,MagneLauritzen,2026-04-03 22:03:17,0.09523809523809523,False
47548164,"Researchers find 3,500-year-old loom that reveals textile revolution",science,132,20,geox,2026-04-03 22:03:56,0.15037593984962405,False
